Stock Name,Symbol,Jun-24
Power Grid Corporation Of India Limited,POWERGRID,3600
PVR Inox Ltd,PVRINOX,407
The Ramco Cements Limited,RAMCOCEM,850
Rbl Bank Limited,RBLBANK,2500
Rural Electrification Corporation Limited,RECLTD,2000
Reliance Industries Limited,RELIANCE,250
Steel Authority Of India Limited,SAIL,4000
SBI Cards & Payment Services Ltd,SBICARD,800
SBI Life Insurance Company Ltd,SBILIFE,375
State Bank Of India,SBIN,750
Shree Cements Limited,SHREECEM,25
Shriram Finance Ltd,SHRIRAMFIN,300
Siemens Limited,SIEMENS,150
Srf Limited,SRF,375
Sun Pharmaceuticals Industries Limited,SUNPHARMA,350
Sun Tv Network Limited,SUNTV,1500
Syngene International Limited,SYNGENE,1000
Tata Chemicals Limited,TATACHEM,550
Tata Communications Limited,TATACOMM,500
TATA Consumer Products Ltd,TATACONSUM,450
Tata Motors Limited,TATAMOTORS,1425
Tata Power Company Limited,TATAPOWER,3375
Tata Steel Limited,TATASTEEL,5500
Tata Consultancy Services Limited,TCS,175
Tech Mahindra Limited,TECHM,600
Titan Company Limited,TITAN,175
Torrent Pharmaceuticals Limited,TORNTPHARM,250
Trent Limited,TRENT,200
Tvs Motor Company Limited,TVSMOTOR,350
United Breweries Limited,UBL,400
Ultratech Cement Limited,ULTRACEMCO,100
Upl Limited,UPL,1300
Vedanta Limited,VEDL,2300
Voltas Limited,VOLTAS,600
Wipro Limited,WIPRO,1500
Zee Entertainment Enterprises Limited,ZEEL,3000
Zydus Lifesciences Ltd,ZYDUSLIFE,900
